Timestamp,uid,time,eventName,target,info,state,LOG_VERSION
3/15/2022 1:45:36,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,div.main-content-area.w3-center,"{""which"":3,""pageX"":1290,""pageY"":247}",,0.1
3/15/2022 1:45:40,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge,"{""which"":1,""pageX"":69,""pageY"":124}",,0.1
3/15/2022 1:50:08,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:51:27,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:51:29,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge,"{""which"":1,""pageX"":69,""pageY"":120}",,0.1
3/15/2022 1:52:20,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:52:21,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge,"{""which"":1,""pageX"":57,""pageY"":118}",,0.1
3/15/2022 1:52:23,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,a.w3-closenav.w3-text-white.w3-pink.w3-large,"{""which"":1,""pageX"":176,""pageY"":19}",,0.1
3/15/2022 1:53:33,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:53:55,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:54:16,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:54:31,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:54:32,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge.icon-spacing,"{""which"":1,""pageX"":68,""pageY"":121}",,0.1
3/15/2022 1:54:34,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,a.w3-closenav.w3-text-white.w3-pink.w3-large,"{""which"":1,""pageX"":181,""pageY"":17}",,0.1
3/15/2022 1:55:00,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge.icon-spacing,"{""which"":1,""pageX"":82,""pageY"":66}",,0.1
3/15/2022 1:57:47,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,img.w3-right,"{""which"":1,""pageX"":22,""pageY"":48}",,0.1
3/15/2022 1:57:48,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge.icon-spacing,"{""which"":1,""pageX"":96,""pageY"":64}",,0.1
3/15/2022 1:57:49,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,a.w3-closenav.w3-text-white.w3-pink.w3-large,"{""which"":1,""pageX"":31,""pageY"":16}",,0.1
3/15/2022 1:57:50,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge.icon-spacing,"{""which"":1,""pageX"":97,""pageY"":72}",,0.1
3/15/2022 1:57:51,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,img.w3-center.w3-padding-16,"{""which"":1,""pageX"":281,""pageY"":24}",,0.1
3/15/2022 1:57:53,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,a.w3-closenav.w3-text-white.w3-pink.w3-large,"{""which"":1,""pageX"":30,""pageY"":35}",,0.1
3/15/2022 1:58:24,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:58:25,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge.icon-spacing,"{""which"":1,""pageX"":99,""pageY"":68}",,0.1
3/15/2022 1:58:42,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 1:58:43,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge.icon-spacing,"{""which"":1,""pageX"":104,""pageY"":69}",,0.1
3/15/2022 1:58:45,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,a.w3-padding.w3-text-white,"{""which"":3,""pageX"":115,""pageY"":111}",,0.1
3/15/2022 1:59:26,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,div.content-container,"{""which"":1,""pageX"":369,""pageY"":112}",,0.1
3/15/2022 1:59:42,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,a.w3-padding.w3-text-white,"{""which"":3,""pageX"":44,""pageY"":108}",,0.1
3/15/2022 2:01:31,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 2:01:31,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge.icon-spacing,"{""which"":1,""pageX"":78,""pageY"":119}",,0.1
3/15/2022 2:05:58,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 2:05:59,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge.icon-spacing,"{""which"":1,""pageX"":67,""pageY"":116}",,0.1
3/15/2022 2:07:08,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 2:07:09,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge.icon-spacing,"{""which"":1,""pageX"":66,""pageY"":116}",,0.1
3/15/2022 2:08:25,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
3/15/2022 2:08:26,OS_X-Chrome-9958373712239559,1.64728E+12,mousedown,span#openNav.w3-opennav.w3-left.w3-xlarge.icon-spacing,"{""which"":1,""pageX"":69,""pageY"":122}",,0.1
3/15/2022 2:08:30,OS_X-Chrome-9958373712239559,1.64728E+12,onLoadEvent,[object HTMLDocument],"{""eventName"":""windowLoaded"",""info"":{""input"":null,""unique_id"":null,""interface"":""old""}}",,0.1
